codigo_factura,ocurrencias
ENCI,7
3227034,2
3140498,2
3140371,2
3125486,2
3149479,2
3131913,2
3140640,2
3126957,2
3131879,2
3141129,2
3141435,2
3137395,2
3110447,2
3141495,2
3118378,2
3221923,2
3121223,2
3226815,2
3140881,2
3156171,2
3141925,2
3128428,2
3177886,2
3137070,2
3116674,2
3156617,2
3159604,2
3141301,2
3108930,2
3137076,2
3131641,2
3139967,2
3108844,2
3132533,2
3139271,2
3141236,2
3126594,2
3148428,2
3123094,2
3118604,2
3120021,2
3221957,2
3141785,2
3131844,2
3112122,2
3141587,2
3136730,2
3101683,2
3114401,2
3142267,2
3141897,2
3135483,2
3141590,2
3184420,2
3141566,2
3215479,2
3117211,2
3129377,2
3182921,2
3141051,2
3153015,2
3227011,2
3225126,2
3142160,2
3141744,2
3140576,2
3136716,2
3221102,2
3136993,2
3135709,2
3142184,2
3141557,2
3141560,2
3140989,2
3141805,2
3182106,2
3140852,2
3124775,2
3141731,2
3135566,2
3141124,2
3141530,2
3141121,2
3169742,2
3143355,2
3140365,2
3183914,2
3138586,2
3142014,2
3101718,2
3142675,2
3127309,2
3113411,2
3138319,2
3227572,2
3121256,2
3176725,2
3142124,2
3166984,2
3166848,2
3227689,2
3141825,2
3155529,2
3141042,2
3124946,2
3140736,2
3113257,2
3141729,2
3107041,2
3107258,2
3141165,2
3123778,2
3137101,2
3140453,2
3143418,2
3108052,2
3136688,2
3143394,2
3142593,2
3141637,2
3116251,2
3140093,2
3139826,2
3141385,2
3142434,2
3143215,2
3139588,2
3142016,2
3144450,2
3114387,2
3131164,2
3155319,2
3142605,2
3141389,2
3122636,2
3138491,2
3141664,2
3118517,2
3140481,2
3171434,2
3141588,2
3135421,2
3182255,2
3225742,2
3155982,2
3113325,2
3108572,2
3144232,2
3127330,2
3182993,2
3148797,2
3133682,2
3183010,2
3155308,2
3130334,2
3143552,2
3128468,2
3141589,2
3143628,2
3119463,2
3129585,2
3119824,2
3164598,2
3122202,2
3158146,2
3166012,2
3123140,2
3139043,2
3142961,2
3227676,2
3100585,2
3135572,2
3126244,2
3153150,2
3137324,2
3137393,2
3110767,2
3214785,2
3141734,2
3129332,2
3129180,2
3142450,2
3182852,2
3136729,2
3129083,2
3178468,2
3137459,2
3136732,2
3146238,2
3137345,2
